Couleur,Mouvement source,Mouvement destination,Status
B,F-4,F5,EXT_BOARD
B,D2,C2,OK
R,C5,C4,OK
B,C2,C3,OK
R,B4,B3,OK
B,C3,B4,OK
R,C4,D3,OK
B,E3,E4,OK
R,E4,E5,BAD_COLOR
R,D6,E6,OK
B,F4,F5,OK
R,E6,E5,OK
B,E4,D4,OK
R,E5,F4,OK
B,D3,D2,BAD_COLOR
B,E2,D3,DEST_NOT_FREE
B,D2,D2,EMPTY_SRC
B,E2,D2,OK
R,B3,C3,OK
B,D2,C2,OK
R,D3,D2,OK
B,D4,C5,OK
R,D2,E2,OK
B,F2,E3,OK
R,B6,C5,DEST_NOT_FREE
R,B5,C4,OK
B,F5,D6,TOO_FAR
B,F5,E6,OK
R,E2,F2,OK
B,E6,D6,OK
R,A5,B5,OK
B,E3,D3,OK
R,A4,B3,OK
B,B4,A4,OK
R,D7,E6,OK
B,A4,A5,OK
R,C7,D7,OK
B,F3,E3,OK
R,B7,C7,OK
B,D3,D4,OK
R,A7,B7,OK
B,G3,F3,OK
R,C4,D3,OK
B,D4,D5,OK
R,B5,D3,TOO_FAR
R,B5,C4,OK
B,G2,G3,OK
R,Z5,D8,EXT_BOARD
R,A6,B5,OK
B,A5,A6,OK
R,F2,G2,OK
B,A6,A7,OK
R,B5,B4,OK
B,G4,F5,OK
R,F4,G4,OK
B,E6,E5,BAD_COLOR
B,F5,E5,OK
R,B6,A6,TOO_FAR
Partie interrompue
