Couleur,Mouvement source,Mouvement destination,Status
B,E3,D3,OK
R,B4,B3,OK
B,D3,C3,OK
R,D6,E6,OK
B,F4,D5,TOO_FAR
B,D2,C2,OK
R,D7,D6,OK
B,F4,F5,OK
R,E6,E5,OK
B,G4,F4,OK
R,C7,D7,OK
B,G3,G4,OK
R,B7,C7,OK
B,G2,G3,OK
R,A7,B7,OK
B,G1,G2,OK
R,D3,D4,EMPTY_SRC
R,B5,B4,OK
B,E2,D2,OK
R,D6,E6,OK
B,F2,E3,OK
R,C6,D6,OK
B,G5,F2,EXT_BOARD
B,G2,F2,OK
R,B6,C6,OK
B,F4,E4,OK
R,A6,B6,OK
B,G4,F4,OK
R,A5,B5,OK
B,G3,G4,OK
R,C6,D5,OK
B,F2,E2,OK
R,C7,C6,OK
B,C3,C4,OK
R,B7,C7,OK
B,F1,F2,OK
R,C5,D4,OK
B,C2,C3,OK
R,B5,C5,OK
B,D1,C2,OK
R,B6,B5,OK
B,E2,D3,OK
Victoire : R (19 coups)
